"","nonevent","event","names"
"RHIRGA672.std",0.781087317175493,0.781087317175493,"RHIRGA672.std"
"RPAR.mean",0.775271257222402,0.775271257222402,"RPAR.mean"
"O342.mean",0.770847237848248,0.770847237848248,"O342.mean"
"T504.std",0.765622318414981,0.765622318414981,"T504.std"
"PTG.std",0.739869567704659,0.739869567704659,"PTG.std"
"SWS.mean",0.72172536755592,0.72172536755592,"SWS.mean"
"CS.mean",0.668694342213154,0.668694342213154,"CS.mean"
"PTG.mean",0.660790221391659,0.660790221391659,"PTG.mean"
"SWS.std",0.639728456741862,0.639728456741862,"SWS.std"
"CO242.mean",0.625464808070022,0.625464808070022,"CO242.mean"
"Pamb0.std",0.61125836654526,0.61125836654526,"Pamb0.std"
"NOx504.std",0.601552220590759,0.601552220590759,"NOx504.std"
"Pamb0.mean",0.592360938959974,0.592360938959974,"Pamb0.mean"
"H2O84.std",0.589939169733605,0.589939169733605,"H2O84.std"
"NOx336.std",0.5861253599283,0.5861253599283,"NOx336.std"
"NOx42.std",0.566140996548502,0.566140996548502,"NOx42.std"
"NOx168.std",0.55929520794798,0.55929520794798,"NOx168.std"
"NO672.std",0.557245285177628,0.557245285177628,"NO672.std"
"NO42.std",0.54842585000286,0.54842585000286,"NO42.std"
"SO2168.std",0.537480215861635,0.537480215861635,"SO2168.std"
"CO2504.std",0.533818958448542,0.533818958448542,"CO2504.std"
"CS.std",0.530939532045537,0.530939532045537,"CS.std"
"O3672.std",0.525657405465189,0.525657405465189,"O3672.std"
"NO168.std",0.506016284967869,0.506016284967869,"NO168.std"
"SO2168.mean",0.500429053603097,0.500429053603097,"SO2168.mean"
